"date","observed"
"1999-01-01 00:00:00",30.052513
"1999-04-01 00:00:00",19.148496
"1999-07-01 00:00:00",25.317692
"1999-10-01 00:00:00",27.591437
"2000-01-01 00:00:00",32.076456
"2000-04-01 00:00:00",23.487961
"2000-07-01 00:00:00",28.47594
"2000-10-01 00:00:00",35.123753
"2001-01-01 00:00:00",36.838485
"2001-04-01 00:00:00",25.007017
"2001-07-01 00:00:00",30.72223
"2001-10-01 00:00:00",28.693759
"2002-01-01 00:00:00",36.640986
"2002-04-01 00:00:00",23.824609
"2002-07-01 00:00:00",29.311683
"2002-10-01 00:00:00",31.770309
"2003-01-01 00:00:00",35.177877
"2003-04-01 00:00:00",19.775244
"2003-07-01 00:00:00",29.60175
"2003-10-01 00:00:00",34.538842
"2004-01-01 00:00:00",41.273599
"2004-04-01 00:00:00",26.655862
"2004-07-01 00:00:00",28.279859
"2004-10-01 00:00:00",35.191153
"2005-01-01 00:00:00",42.2056638559382
"2005-04-01 00:00:00",24.6491713296294
"2005-07-01 00:00:00",32.6673351386246
"2005-10-01 00:00:00",37.2573540134764
"2006-01-01 00:00:00",45.2424602720635
"2006-04-01 00:00:00",29.3504812742718
"2006-07-01 00:00:00",36.3442072775119
"2006-10-01 00:00:00",41.7820813647366
"2007-01-01 00:00:00",49.2765984345619
"2007-04-01 00:00:00",31.2754013898459
"2007-07-01 00:00:00",37.8506254947152
"2007-10-01 00:00:00",38.83704413019
"2008-01-01 00:00:00",51.236900336137
"2008-04-01 00:00:00",31.8385516171558
"2008-07-01 00:00:00",41.3234212576972
"2008-10-01 00:00:00",42.7990033724349
"2009-01-01 00:00:00",55.708358364385
"2009-04-01 00:00:00",33.4071449171312
"2009-07-01 00:00:00",42.3166379718116
"2009-10-01 00:00:00",45.1571225674731
"2010-01-01 00:00:00",59.5760799633937
"2010-04-01 00:00:00",34.8373301595328
"2010-07-01 00:00:00",44.8416807241332
"2010-10-01 00:00:00",46.971249602779
"2011-01-01 00:00:00",60.0190309438716
"2011-04-01 00:00:00",38.3711785132276
"2011-07-01 00:00:00",46.9758641283558
"2011-10-01 00:00:00",50.7337964560878
"2012-01-01 00:00:00",61.6468731860574
"2012-04-01 00:00:00",39.2995693656296
"2012-07-01 00:00:00",52.6712090814052
"2012-10-01 00:00:00",54.3323168946667
"2013-01-01 00:00:00",66.834358381339
"2013-04-01 00:00:00",40.8711884667851
"2013-07-01 00:00:00",51.8285357927739
"2013-10-01 00:00:00",57.4919099342262
"2014-01-01 00:00:00",65.2514698518726
"2014-04-01 00:00:00",43.0612082202828
"2014-07-01 00:00:00",54.7607571288007
"2014-10-01 00:00:00",59.8344749355003
"2015-01-01 00:00:00",73.2570274672009
"2015-04-01 00:00:00",47.6966237298
"2015-07-01 00:00:00",61.0977680206996
"2015-10-01 00:00:00",66.0557612187001
